fid,area_name_russian,Lukashenko,Kebich,Pazniak,Shushkevich,Dubko,Novikau,latitude_wgs84,longitude_wgs84,area_name_belarusian,non_lukashenko,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,HubName,HubDist,fid_2,ID_,NAME1_,Control,AREA,PERIMETER
"86",Костюковичский район,0.67,0.231,0.017,0.012,0.024,0.02,53.3373,32.0461,Касцюковіцкі раён,0.33000001,"22",BLR,Belarus,"4",Mahilyow,"64",Kas'tsyukovichy,Raion,District,,Kostyukovichi,"368",319.18878465285,,,,,,
"87",Хотимский район,0.677,0.218,0.015,0.013,0.041,0.013,53.4067,32.5722,Хоцімскі раён,0.32300001,"22",BLR,Belarus,"4",Mahilyow,"65","Khotsimsk
",Raion,District,,Hotimsk,"368",341.2972558502,,,,,,
"88",Кировский район,0.659,0.179,0.023,0.018,0.059,0.035,53.267,29.4736,Кіраўскі раён,0.34099999,"22",BLR,Belarus,"4",Mahilyow,"66",Kirawsk,Raion,District,,Kirovsk,"98",146.81077709772,,,,,,
"89",Кличевский район,0.578,0.168,0.046,0.029,0.105,0.046,53.4812,29.3411,Клічаўскі раён,0.42199999,"22",BLR,Belarus,"4",Mahilyow,"67",Klichaw,Raion,District,,Klichev,"390",186.038093917604,,,,,,
"90",Климовичский район,0.705,0.138,0.012,0.013,0.042,0.024,53.6151,31.95,Клімавіцкі раён,0.29499999,"22",BLR,Belarus,"4",Mahilyow,"68",Klimavichy,Raion,District,,Klimovichi,"368",294.446985455957,,,,,,
"91",Краснопольский район,0.597,0.19,0.019,0.01,0.09,0.049,53.3318,31.4022,Краснапольскі раён,0.403,"22",BLR,Belarus,"4",Mahilyow,"69",Krasnapolle,Raion,District,,Krasnopolye,"368",288.923699164816,,,,,,
"92",Круглянский район,0.782,0.096,0.022,0.014,0.038,0.025,54.2465,29.7966,Круглянскі раён,0.21799999,"22",BLR,Belarus,"4",Mahilyow,"70",Kruhlaye,Raion,District,,Krugloye,"368",142.362500079382,,,,,,
"93",Кричев,0.66,0.164,0.03,0.02,0.017,0.074,53.7131,31.7138,Крычаў,0.34,"22",BLR,Belarus,"4",Mahilyow,"71",Krychaw,Raion,District,,Krichev,"368",275.429030987965,,,,,,
"94",Кричевский район,0.62,0.136,0.02,0.017,0.047,0.117,53.7179,31.7139,Крычаўскі раён,0.38,"22",BLR,Belarus,"4",Mahilyow,"71",Krychaw,Raion,District,,Krichev,"368",275.105258757014,,,,,,
"95",Могилёв,0.645,0.128,0.062,0.065,0.033,0.029,53.9026,30.3429,Магілёў,0.35499999,"22",BLR,Belarus,"4",Mahilyow,"72",Mahilyow,Raion,District,,,"368",194.732282714925,,,,,,
"96",Могилёвский район,0.73,0.122,0.022,0.02,0.035,0.031,53.9151,30.35,Магілёўскі раён,0.27000001,"22",BLR,Belarus,"4",Mahilyow,"72",Mahilyow,Raion,District,,,"368",194.008749984707,,,,,,
"97",Мстилавский район,0.678,0.193,0.013,0.015,0.036,0.034,54.0151,31.7167,Мсціслаўскі раён,0.322,"22",BLR,Belarus,"4",Mahilyow,"73",Ms'tsislaw,Raion,District,,Mstislavl,"368",256.241884013831,,,,,,
"98",Шкловский район,0.85,0.059,0.016,0.009,0.023,0.018,54.2068,30.2869,Шклоўскі раён,0.15000001,"22",BLR,Belarus,"4",Mahilyow,"74",Shklow,Raion,District,,Shklov,"368",168.201907196566,,,,,,
"99",Славгородский район,0.628,0.23,0.024,0.021,0.031,0.035,53.4437,30.9964,Слаўгарадскі раён,0.37200001,"22",BLR,Belarus,"4",Mahilyow,"75",Slawharad,Raion,District,,Slavgorod,"368",261.607258709504,,,,,,
"100",Борисов,0.272,0.345,0.09,0.055,0.04,0.051,54.227,28.4999,Барысаў,0.72799999,"22",BLR,Belarus,"5",Minsk,"76",Barysaw,Raion,District,,Borisov,"394",86.6912556153908,,,,,,
"101",Борисовский район,0.426,0.19,0.092,0.054,0.086,0.101,54.2318,28.5,Барысаўскі раён,0.574,"22",BLR,Belarus,"5",Minsk,"76",Barysaw,Raion,District,,Borisov,"394",86.1817290756646,,,,,,
"102",Березинский район,0.622,0.112,0.061,0.044,0.099,0.033,53.8317,28.9833,Бярэзінскі раён,0.37799999,"22",BLR,Belarus,"5",Minsk,"77",Byarezan',Raion,District,,Berezino,"390",140.901728095128,,,,,,
"103",Червенский район,0.485,0.089,0.09,0.055,0.185,0.051,53.7062,28.4322,Чэрвеньскі раён,0.51499999,"22",BLR,Belarus,"5",Minsk,"78",Chervyen',Raion,District,,Cherven,"293",92.7134628188916,,,,,,
"104",Дзержинск,0.471,0.105,0.141,0.151,0.051,0.03,53.6771,27.1335,Дзяржынск,0.52899998,"22",BLR,Belarus,"5",Minsk,"79",Dzyarzhynsk,Raion,District,,Dzerzhinsk,"452",19.6031105290007,,,,,,
"105",Дзержинский район,0.428,0.163,0.14,0.107,0.104,0.028,53.6817,27.1333,Дзяржынскі раён,0.57200003,"22",BLR,Belarus,"5",Minsk,"79",Dzyarzhynsk,Raion,District,,Dzerzhinsk,"452",19.20632097193,,,,,,
"106",Копыльский район,0.624,0.073,0.072,0.055,0.086,0.069,53.1484,27.0917,Копыльскі раён,0.37599999,"22",BLR,Belarus,"5",Minsk,"80",Kapyl',Raion,District,,Kopyl,"152",17.5789416345003,,,,,,
"108",Крупский район,0.556,0.116,0.064,0.038,0.123,0.059,54.3235,29.1361,Крупскі раён,0.44400001,"22",BLR,Belarus,"5",Minsk,"82",Krupki,Raion,District,,,"388",99.4081131442881,,,,,,
"109",Логойский район,0.457,0.149,0.13,0.056,0.077,0.088,54.1984,27.85,Лагойскі раён,0.54299998,"22",BLR,Belarus,"5",Minsk,"83",Lahoysk,Raion,District,,Logoysk,"293",27.4740733452694,,,,,,
"110",Любанский район,0.623,0.114,0.067,0.037,0.078,0.042,52.7801,28.0529,Любанскі раён,0.377,"22",BLR,Belarus,"5",Minsk,"84",Lyuban',Raion,District,,Lyuban,"97",37.3197478072365,,,,,,
"113",Центральный район,0.227,0.243,0.178,0.219,0.032,0.049,53.9495,27.5102,Цэнтральны раён,0.773,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"205",25.5784036666738,,,,,,
"114",Советский район,0.216,0.207,0.21,0.234,0.032,0.05,53.9378,27.5863,Савецкі раён,0.78399998,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"205",29.6686566634198,,,,,,
"115",Первомайский район,0.215,0.253,0.186,0.211,0.033,0.046,53.9362,27.6636,Першамайскі раён,0.78500003,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"301",40.1167234384686,,,,,,
"116",Партизанский район,0.259,0.217,0.187,0.2,0.034,0.051,53.9028,27.7075,Партызанскі раён,0.741,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"301",44.7090731338837,,,,,,
"117",Заводской район,0.337,0.136,0.217,0.18,0.037,0.046,53.8437,27.6334,Заводскі раён,0.66299999,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"205",39.8704519484197,,,,,,
"118",Ленинский район,0.3,0.158,0.209,0.21,0.032,0.04,53.8642,27.586,Ленінскі раён,0.69999999,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"205",36.2487898079746,,,,,,
"119",Октябрьский район,0.258,0.163,0.223,0.22,0.037,0.048,53.8499,27.5389,Кастрычніцкі раён,0.74199998,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"220",28.8376701978686,,,,,,
"120",Московский район,0.264,0.166,0.22,0.219,0.038,0.044,53.872,27.4956,Маскоўскі раён,0.736,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"220",25.0738252171205,,,,,,
"121",Фрунзенский район,0.263,0.163,0.224,0.222,0.037,0.042,53.9068,27.4868,Фрунзенскі раён,0.73699999,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"220",22.2425962647944,,,,,,
"122",Заславль,0.439,0.085,0.202,0.15,0.056,0.032,54.002,27.2849,Заслаўе,0.56099999,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"220",5.47187315162371,,,,,,
"123",Минский район,0.387,0.18,0.172,0.134,0.077,0.049,53.8984,27.5667,Мінскі раён,0.61299998,"22",BLR,Belarus,"5",Minsk,"86",Minsk,Raion,District,,,"205",32.3687554213177,,,,,,
"126",Пуховический район,0.408,0.217,0.095,0.07,0.113,0.049,53.5151,28.1417,Пухавіцкі раён,0.59200001,"22",BLR,Belarus,"5",Minsk,"89",Pukhavichy,Raion,District,,Puhovichi,"294",99.4773805967022,,,,,,
"127",Солигорск,0.47,0.09,0.24,0.12,0.05,0.03,52.7777,27.5424,Салігорск,0.52999997,"22",BLR,Belarus,"5",Minsk,"90",Salihorsk,Raion,District,,Soligorsk,"85",20.8175766774831,,,,,,
"128",Солигорский район,0.626,0.072,0.07,0.032,0.141,0.025,52.8151,27.5334,Салігорскі раён,0.37400001,"22",BLR,Belarus,"5",Minsk,"90",Salihorsk,Raion,District,,Soligorsk,"85",24.8088726532018,,,,,,
"129",Слуцк,0.555,0.158,0.09,0.07,0.042,0.045,53.0103,27.5499,Слуцк,0.44499999,"22",BLR,Belarus,"5",Minsk,"91",Slutsak,Raion,District,,Slutsk,"85",46.5052963335158,,,,,,
"130",Слуцкий район,0.662,0.057,0.064,0.028,0.137,0.025,53.0151,27.55,Слуцкі раён,0.338,"22",BLR,Belarus,"5",Minsk,"91",Slutsak,Raion,District,,Slutsk,"85",47.0373585027567,,,,,,
"131",Жодино,0.378,0.165,0.191,0.148,0.041,0.03,54.0937,28.3499,Жодзіна,0.62199998,"22",BLR,Belarus,"5",Minsk,"92",Smalyavichy,Raion,District,,Smolevichi,"249",78.5745240583723,,,,,,
"132",Смолевический район,0.444,0.145,0.138,0.084,0.09,0.053,54.0212,28.072,Смалявіцкі раён,0.55599999,"22",BLR,Belarus,"5",Minsk,"92",Smalyavichy,Raion,District,,Smolevichi,"293",51.041074381222,,,,,,
"133",Стародорожский район,0.61,0.115,0.059,0.036,0.103,0.034,53.0378,28.265,Старадарожскі раён,0.38999999,"22",BLR,Belarus,"5",Minsk,"93",Staryya Darohi,Raion,District,,Starye Dorogi,"97",67.9091963061836,,,,,,
"135",Узденский район,0.575,0.081,0.121,0.06,0.088,0.03,53.4645,27.2244,Уздзенскі раён,0.42500001,"22",BLR,Belarus,"5",Minsk,"95",Uzda,Raion,District,,,"478",17.8475080610349,,,,,,
"139",Орша,0.572,0.161,0.083,0.05,0.025,0.053,54.5056,30.4253,Орша,0.428,"22",BLR,Belarus,"6",Vitsyebsk,"98",Arsha,Raion,District,,Orsha,"368",155.978615026153,,,,,,
"140",Оршанский район,0.556,0.153,0.057,0.036,0.067,0.076,54.4984,30.4,Аршанскі раён,0.44400001,"22",BLR,Belarus,"6",Vitsyebsk,"98",Arsha,Raion,District,,Orsha,"368",154.971251666565,,,,,,
"142",Бешенковичский район,0.496,0.152,0.049,0.035,0.13,0.097,55.0318,29.45,Бешанкавіцкі раён,0.50400001,"22",BLR,Belarus,"6",Vitsyebsk,"100",Byeshankovichy,Raion,District,,Beshenkovichi,"355",77.4679948706245,,,,,,
"143",Чашникский район,0.446,0.143,0.13,0.053,0.06,0.123,54.8518,29.1648,Чашніцкі раён,0.55400002,"22",BLR,Belarus,"6",Vitsyebsk,"101",Chashniki,Raion,District,,,"368",66.5936623087664,,,,,,
"145",Дубровенский район,0.589,0.2,0.028,0.03,0.051,0.069,54.5651,30.6834,Дубровенскі раён,0.41100001,"22",BLR,Belarus,"6",Vitsyebsk,"103",Dubrowna,Raion,District,,Dubrovno,"368",167.667959906889,,,,,,
"146",Городокский район,0.553,0.198,0.038,0.038,0.085,0.044,55.4652,29.9833,Гарадоцкі раён,0.447,"22",BLR,Belarus,"6",Vitsyebsk,"104",Haradok,Raion,District,,Gorodok,"354",104.59491303434,,,,,,
"148",Лепельский район,0.496,0.263,0.047,0.043,0.081,0.032,54.8735,28.6945,Лепельскі раён,0.50400001,"22",BLR,Belarus,"6",Vitsyebsk,"106",Lyepyel,Raion,District,,Lepel,"368",43.1714532403365,,,,,,
"149",Лиозненский район,0.818,0.068,0.018,0.016,0.021,0.028,55.0152,30.8,Лёзненьскі раён,0.182,"22",BLR,Belarus,"6",Vitsyebsk,"107",Lyozna,Raion,District,,Liozno,"355",160.003594660166,,,,,,
"152",Новополоцк,0.382,0.204,0.1,0.16,0.041,0.056,55.5274,28.6668,Наваполацк,0.61799997,"22",BLR,Belarus,"6",Vitsyebsk,"110",Polatsak,Raion,District,,Polotsk,"335",22.8790182870142,,,,,,
"153",Полоцк,0.433,0.244,0.071,0.081,0.038,0.073,55.4797,28.7763,Полацк,0.56699997,"22",BLR,Belarus,"6",Vitsyebsk,"110",Polatsak,Raion,District,,Polotsk,"354",31.5443697502455,,,,,,
"154",Полоцкий район,0.356,0.356,0.039,0.046,0.091,0.055,55.4818,28.8,Полацкі раён,0.64399999,"22",BLR,Belarus,"6",Vitsyebsk,"110",Polatsak,Raion,District,,Polotsk,"354",32.9583252010164,,,,,,
"155",Россонский район,0.419,0.23,0.048,0.049,0.094,0.077,55.8991,28.8068,Расонскі раён,0.58099997,"22",BLR,Belarus,"6",Vitsyebsk,"111",Rasony,Raion,District,,Rossonu,"334",49.5009065656415,,,,,,
"157",Шумилинский район,0.561,0.135,0.055,0.045,0.04,0.12,55.358889,29.445833,Шумілінскі раён,0.43900001,"22",BLR,Belarus,"6",Vitsyebsk,"113",Shumilina,Raion,District,,Shumilino,"354",69.6779972919805,,,,,,
"158",Сенненский район,0.611,0.115,0.04,0.032,0.063,0.086,54.7985,29.7,Сенненскі раён,0.389,"22",BLR,Belarus,"6",Vitsyebsk,"114",Syanno,Raion,District,,Senno,"368",99.2688420900559,,,,,,
"159",Талочинский район,0.596,0.137,0.059,0.034,0.055,0.059,54.4152,29.7,Талачынскі раён,0.40400001,"22",BLR,Belarus,"6",Vitsyebsk,"115",Talachyn,Raion,District,,Tolochin,"368",124.423534697053,,,,,,
"160",Ушачкий район,0.552,0.101,0.063,0.049,0.125,0.064,55.1818,28.6167,Ушацкі раён,0.44800001,"22",BLR,Belarus,"6",Vitsyebsk,"116",Ushat,Raion,District,,Ushachi,"357",22.5317097728523,,,,,,
"161",Витебск,0.404,0.258,0.072,0.086,0.031,0.08,55.1772,30.1667,Віцебск,0.59600002,"22",BLR,Belarus,"6",Vitsyebsk,"117",Vitsyebsk,Raion,District,,,"355",116.808760483355,,,,,,
"162",Витебский район,0.529,0.2,0.037,0.036,0.069,0.074,55.1816,30.1671,Віцебскі раён,0.47099999,"22",BLR,Belarus,"6",Vitsyebsk,"117",Vitsyebsk,Raion,District,,,"355",116.758886297017,,,,,,
"163",Верхнедвинский район,0.45,0.2,0.054,0.066,0.12,0.056,55.7652,27.9333,Верхнядзвінскі раён,0.55000001,"22",BLR,Belarus,"6",Vitsyebsk,"118",Vyerkhnyazdvinsk,Raion,District,,Verhnedvinsk,"443",1.19970209849898,,,,,,
