fid,area_name_russian,Lukashenko,Kebich,Pazniak,Shushkevich,Dubko,Novikau,latitude_wgs84,longitude_wgs84,area_name_belarusian,non_lukashenko,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,HubName,HubDist,fid_2,ID_,NAME1_,Control,AREA,PERIMETER
"6",Дрогичинский район,0.732,0.071,0.073,0.037,0.041,0.015,52.1892,25.1478,Драгічынскі раён,0.26800001,"22",BLR,Belarus,"1",Brest,"4",Drahichyn,Raion,District,,Drogichin,"171",146.190166185129,"8",P1302,Drohiczyn district,ja,2254.1951819,242.892550273
"8",Ивановский район,0.624,0.144,0.075,0.062,0.015,0.014,52.1478,25.535,Іванаўскі раён,0.37599999,"22",BLR,Belarus,"1",Brest,"6",Ivanaw,Raion,District,,Ivanovo,"171",130.377097680275,"8",P1302,Drohiczyn district,ja,2254.1951819,242.892550273
"21",Жабинковский район,0.533,0.155,0.076,0.11,0.06,0.025,52.2001,24.0217,Жабінкаўскі раён,0.46700001,"22",BLR,Belarus,"1",Brest,"16",Zhabinka,Raion,District,,,"171",210.324526031005,"9",P1304,Kobryñ district,ja,3367.24386475,314.027532273
"11",Кобрин,0.63,0.132,0.09,0.127,0.032,0.023,52.2102,24.3502,Кобрын,0.37,"22",BLR,Belarus,"1",Brest,"9",Kobryn',Raion,District,,Kobrin,"171",189.970474087139,"9",P1304,Kobryñ district,ja,3367.24386475,314.027532273
"12",Кобринский район,0.678,0.117,0.041,0.033,0.07,0.018,52.2112,24.3716,Кобрынскі раён,0.322,"22",BLR,Belarus,"1",Brest,"9",Kobryn',Raion,District,,Kobrin,"171",188.64114988531,"9",P1304,Kobryñ district,ja,3367.24386475,314.027532273
"19",Пружанский район,0.573,0.126,0.094,0.069,0.088,0.018,52.5573,24.4691,Пружанскі раён,0.42699999,"22",BLR,Belarus,"1",Brest,"14",Pruzhany,Raion,District,,Pruzhanu,"171",166.713986316828,"10",P1308,Pru¿ana district,ja,3003.03096198,295.512507121
"3",Берёзовский район,0.552,0.108,0.137,0.078,0.054,0.019,52.5312,24.9775,Бярозаўскі раён,0.44800001,"22",BLR,Belarus,"1",Brest,"2",Biaroza,Raion,District,,Bereza,"171",135.684375735611,"10",P1308,Pru¿ana district,ja,3003.03096198,295.512507121
"5",Брестский район,0.534,0.149,0.07,0.063,0.1,0.038,52.1136,23.6611,Брэсцкі раён,0.46599999,"22",BLR,Belarus,"1",Brest,"3",Brest,Raion,District,,,"171",236.699476210872,"12",P1301,Brzeæ district,ja,4622.80392258,478.394271679
"4",Брест,0.399,0.222,0.109,0.141,0.034,0.048,52.0935,23.6834,Брэст,0.60100001,"22",BLR,Belarus,"1",Brest,"3",Brest,Raion,District,,,"171",236.343056457455,"12",P1301,Brzeæ district,ja,4622.80392258,478.394271679
"10",Каменецкий район,0.677,0.122,0.045,0.04,0.066,0.015,52.3873,23.8128,Камянецкі раён,0.32300001,"22",BLR,Belarus,"1",Brest,"8",Kamyanyets,Raion,District,,Kamenets,"171",215.074583167015,"12",P1301,Brzeæ district,ja,4622.80392258,478.394271679
"16",Малоритский район,0.45,0.241,0.068,0.062,0.085,0.099,51.7917,24.0703,Маларыцкі раён,0.55000001,"22",BLR,Belarus,"1",Brest,"12",Malaryta,Raion,District,,Malorita,"171",231.676370544467,"12",P1301,Brzeæ district,ja,4622.80392258,478.394271679
"18",Пинский район,0.676,0.12,0.062,0.05,0.037,0.021,52.1233,26.0858,Пінскі раён,0.324,"22",BLR,Belarus,"1",Brest,"13",Pinsk,Raion,District,,,"189",98.32747199578,"15",P1307,Piñsk district,ja,5613.54424055,458.239313578
"17",Пинск,0.487,0.131,0.125,0.155,0.019,0.045,52.1163,26.0949,Пінск,0.51300001,"22",BLR,Belarus,"1",Brest,"13",Pinsk,Raion,District,,,"189",98.6009648145121,"15",P1307,Piñsk district,ja,5613.54424055,458.239313578
"20",Столинский район,0.323,0.132,0.318,0.06,0.101,0.028,51.8987,26.8561,Столінскі раён,0.67699999,"22",BLR,Belarus,"1",Brest,"15",Stolin,Raion,District,,,"28",45.2364705105992,"17",P1309,Stolin district,ja,5288.26745194,386.878886071
"64",Свислочский район,0.57,0.077,0.12,0.06,0.096,0.017,53.0317,24.1,Свіслацкі раён,0.43000001,"22",BLR,Belarus,"3",Hrodna,"48",S'vislach,Raion,District,,Svisloch,"166",181.78410608328,"19",P0809,Wo³kowysk district,ja,3882.68689631,336.796163617
"70",Волковыск,0.31,0.098,0.276,0.16,0.0399,0.06,53.1603,24.4666,Ваўкавыск,0.69,"22",BLR,Belarus,"3",Hrodna,"52",Vawkavysk,Raion,District,,Volkovysk,"165",157.14436492574,"19",P0809,Wo³kowysk district,ja,3882.68689631,336.796163617
"71",Волковыский район,0.44,0.13,0.178,0.09,0.08,0.02,53.1651,24.4666,Ваўкавыскі раён,0.56,"22",BLR,Belarus,"3",Hrodna,"52",Vawkavysk,Raion,District,,Volkovysk,"165",157.165521132968,"19",P0809,Wo³kowysk district,ja,3882.68689631,336.796163617
"73",Зельвенский район,0.4,0.148,0.236,0.06,0.07,0.017,53.1484,24.8167,Зэльвенскі раён,0.60000002,"22",BLR,Belarus,"3",Hrodna,"54",Zel'va,Raion,District,,Zelva,"165",133.689726262098,"19",P0809,Wo³kowysk district,ja,3882.68689631,336.796163617
"56",Гродненский район,0.406,0.126,0.119,0.069,0.19,0.026,53.6651,23.8166,Гродзенскі раён,0.59399998,"22",BLR,Belarus,"3",Hrodna,"42",Hrodna,Raion,District,,,"165",209.484339022201,"20",P0803,Grodno district,ja,5225.58392144,482.788530791
"55",Гродно,0.387,0.16,0.17,0.145,0.04,0.03,53.6604,23.8335,Гродна,0.61299998,"22",BLR,Belarus,"3",Hrodna,"42",Hrodna,Raion,District,,,"165",208.263758146914,"20",P0803,Grodno district,ja,5225.58392144,482.788530791
"53",Берестовицкий район,0.49,0.12,0.13,0.06,0.11,0.01,53.194,24.0208,Бераставіцкі раён,0.50999999,"22",BLR,Belarus,"3",Hrodna,"40",Byerastavitsa,Raion,District,,Berestovitsa,"165",187.083533208342,"20",P0803,Grodno district,ja,5225.58392144,482.788530791
"61",Мостовский район,0.418,0.1,0.14,0.1,0.12,0.047,53.3984,24.5333,Мастоўскі раён,0.58200002,"22",BLR,Belarus,"3",Hrodna,"46",Masty,Raion,District,,Mostu,"165",156.007969419179,"20",P0803,Grodno district,ja,5225.58392144,482.788530791
"51",Ошмянский район,0.277,0.08,0.23,0.07,0.277,0.016,54.2899,26.0453,Ашмянскі раён,0.72299999,"22",BLR,Belarus,"3",Hrodna,"38",Ashmyany,Raion,District,,Oshmyanu,"455",80.4522920028079,"21",P1102,Oszmiana district,ja,2416.72319209,325.361705496
"69",Сморгонский район,0.206,0.13,0.34,0.09,0.156,0.019,54.4821,26.4,Смаргонскі раён,0.79400003,"22",BLR,Belarus,"3",Hrodna,"51",Smarhon',Raion,District,,Smorgon,"310",77.7119142501946,"21",P1102,Oszmiana district,ja,2416.72319209,325.361705496
"68",Сморгонь,0.16,0.18,0.38,0.16,0.045,0.02,54.4775,26.4001,Смаргонь,0.83999997,"22",BLR,Belarus,"3",Hrodna,"51",Smarhon',Raion,District,,Smorgon,"310",77.2594685190763,"21",P1102,Oszmiana district,ja,2416.72319209,325.361705496
"136",Воложинский район,0.33,0.253,0.238,0.07,0.049,0.018,54.0817,26.5167,Валожынскі раён,0.67000002,"22",BLR,Belarus,"5",Minsk,"96",Valozhyn,Raion,District,,Volozhin,"455",42.6151130425173,"22",P1208,Wo³o¿yn district,ja,3062.2418284,334.032473217
